timestamp,temperature_c,humidity_pct,pressure_hpa,altitude_m,wind_speed_ms,latitude,longitude
2026-09-09T10:45:08.794161,19.15,60.62,883.0,1145.87,0.0,,
2026-09-09T10:45:18.794238,19.18,60.42,883.03,1145.31,0.0,,
2026-09-09T10:45:28.794305,19.21,60.53,883.05,1145.17,0.0,,
2026-09-09T10:45:38.794374,19.23,60.34,883.06,1144.87,0.0,,
////THE FOLLOWING IS DUMMY DATA(NOT COLLECTED)
2026-09-09T14:30:31.405678,22.3,54.6,1012.88,45.1,2.9,-25.7461,28.1881
2026-09-09T14:30:41.506789,22.4,55.0,1012.87,45.2,3.2,-25.7461,28.1881
2026-09-09T14:30:51.607890,22.4,55.1,1012.90,45.0,3.4,-25.7460,28.1880
2026-09-09T14:31:01.708901,22.5,55.3,1012.91,45.0,2.8,-25.7459,28.1878
2026-09-09T14:31:11.809012,22.5,55.2,1012.89,45.1,3.5,-25.7458,28.1876
2026-09-09T14:31:21.910123,22.6,55.4,1012.86,45.3,3.1,-25.7457,28.1874
2026-09-09T14:31:32.011234,22.6,55.5,1012.83,45.5,2.7,-25.7456,28.1873
2026-09-09T14:31:42.112345,22.7,55.6,1012.80,45.7,3.3,-25.7455,28.1871
2026-09-09T14:31:52.213456,22.7,55.7,1012.78,45.8,3.6,-25.7454,28.1869
